Ref,Val,Package,PosX,PosY,Rot,Side
"C25","10uF","C_0603_1608Metric",109.300000,-23.735000,-90.000000,bottom
"C27","10nF","C_0402_1005Metric",104.570190,-18.720000,180.000000,bottom
"C28","10pF","C_0402_1005Metric",101.900000,-19.900000,180.000000,bottom
"C29","22uF","C_0603_1608Metric",107.580190,-20.595000,90.000000,bottom
"C30","22uF","C_0603_1608Metric",109.280190,-20.595000,-90.000000,bottom
"J4","BATT_CONN","DF65-3P-1.7V21",91.900000,-22.000000,180.000000,bottom
"L8","1.5uH","L_Chilisin_BMRB00060612",104.800000,-27.400000,90.000000,bottom
"Q1","Q_NMOS_GSD","SOT-23_Handsoldering",96.300000,-31.350000,90.000000,bottom
"Q2","Q_NMOS_GSD","SOT-23_Handsoldering",92.750000,-34.400000,90.000000,bottom
"Q3","Q_NMOS_GSD","SOT-23_Handsoldering",99.400000,-31.650000,90.000000,bottom
"R7","1.13k","R_0603_1608Metric",96.917500,-26.942500,-90.000000,bottom
"R8","2.21k","R_0603_1608Metric",95.317500,-26.942500,-90.000000,bottom
"R9","8.87k","R_0603_1608Metric",98.517500,-26.942500,-90.000000,bottom
"R10","309k","R_0402_1005Metric",102.250190,-21.580000,0.000000,bottom
"R11","10k","R_0402_1005Metric",102.400000,-18.800000,180.000000,bottom
"R12","100k","R_0402_1005Metric",100.100000,-21.600000,180.000000,bottom
"U3","TPS61230ARNSR","VQFN7_2X2_TEX",105.040001,-20.640000,-90.000000,bottom
